type,parent,name,color (leave blank to inherit from parent),content,DE,EN,Thumbnail URL,Location,Date,Licence,Text DE,Text EN
image,chapter3.2,item3.2.3,,https://neu.io/project-detail/wsup-1.png,Inhalt 3,Content Item 3,,Berlin,6490,MIT,,
image,chapter3.2,item3.2.4,,https://neu.io/project-detail/wsup-1.png,Inhalt 4,Content Item 4,,Vienna,6847,Creative Commons,,
image,chapter3.2,item3.2.5,,https://neu.io/project-detail/wsup-1.png,Inhalt 5,Content Item 5,,Amsterdam,2890 - 3001,CC Attribution-ShareAlike,,
ar,chapter3.2,item3.2.6,,Giebelwand,Inhalt 6,Content Item 6,,Berlin,7204,CC Attribution-NonCommercial-NoDerivs,,
image,chapter3.2,item3.2.7,,https://neu.io/project-detail/wsup-1.png,Inhalt 7,Content Item 7,,Vienna,7561,MIT,,
image,chapter3.2,item3.2.8,,https://neu.io/project-detail/wsup-1.png,Inhalt 8,Content Item 8,,Amsterdam,2891 - 3001,Creative Commons,,
image,chapter3.2,item3.2.9,,https://neu.io/project-detail/wsup-1.png,Inhalt 9,Content Item 9,,,,,,
image,chapter3.2,item3.2.10,,https://neu.io/project-detail/wsup-1.png,Inhalt 10,Content Item 10,,,,,,
image,chapter3.2,item3.2.11,,https://neu.io/project-detail/wsup-1.png,Inhalt 11,Content Item 11,,,,,,
image,chapter3.2,item3.2.12,,https://neu.io/project-detail/wsup-1.png,Inhalt 12,Content Item 12,,,,,,
image,chapter3.2,item3.2.13,,https://neu.io/project-detail/wsup-1.png,Inhalt 13,Content Item 13,,,,,,
ar,chapter3.2,item3.2.14,,Giebelwand,Inhalt 14,Content Item 14,,,,,,
image,chapter3.2,item3.2.15,,https://neu.io/project-detail/wsup-1.png,Inhalt 15,Content Item 15,,,,,,
image,chapter3.2,item3.2.16,,https://neu.io/project-detail/wsup-1.png,Inhalt 16,Content Item 16,,,,,,
image,chapter3.2,item3.2.17,,https://neu.io/project-detail/wsup-1.png,Inhalt 17,Content Item 17,,,,,,
image,chapter3.2,item3.2.18,,https://neu.io/project-detail/wsup-1.png,Inhalt 18,Content Item 18,,,,,,
image,chapter3.2,item3.2.19,,https://neu.io/project-detail/wsup-1.png,Inhalt 19,Content Item 19,,,,,,
image,chapter3.2,item3.2.20,,https://neu.io/project-detail/wsup-1.png,Inhalt 20,Content Item 20,,,,,,
image,chapter3.2,item3.2.21,,https://neu.io/project-detail/wsup-1.png,Inhalt 21,Content Item 21,,,,,,
ar,chapter3.2,item3.2.22,,Giebelwand,Inhalt 22,Content Item 22,,,,,,
image,chapter3.2,item3.2.23,,https://neu.io/project-detail/wsup-1.png,Inhalt 23,Content Item 23,,,,,,
image,chapter3.2,item3.2.24,,https://neu.io/project-detail/wsup-1.png,Inhalt 24,Content Item 24,,,,,,
image,chapter3.2,item3.2.25,,https://neu.io/project-detail/wsup-1.png,Inhalt 25,Content Item 25,,,,,,
image,chapter3.2,item3.2.26,,https://neu.io/project-detail/wsup-1.png,Inhalt 26,Content Item 26,,,,,,
image,chapter3.2,item3.2.27,,https://neu.io/project-detail/wsup-1.png,Inhalt 27,Content Item 27,,,,,,
image,chapter3.2,item3.2.28,,https://neu.io/project-detail/wsup-1.png,Inhalt 28,Content Item 28,,,,,,
image,chapter3.2,item3.2.29,,https://neu.io/project-detail/wsup-1.png,Inhalt 29,Content Item 29,,,,,,
ar,chapter3.2,item3.2.30,,Giebelwand,Inhalt 30,Content Item 30,,,,,,
image,chapter3.2,item3.2.31,,https://neu.io/project-detail/wsup-1.png,Inhalt 31,Content Item 31,,,,,,
image,chapter3.2,item3.2.32,,https://neu.io/project-detail/wsup-1.png,Inhalt 32,Content Item 32,,,,,,
image,chapter3.2,item3.2.33,,https://neu.io/project-detail/wsup-1.png,Inhalt 33,Content Item 33,,,,,,
image,chapter3.2,item3.2.34,,https://neu.io/project-detail/wsup-1.png,Inhalt 34,Content Item 34,,,,,,
image,chapter3.2,item3.2.35,,https://neu.io/project-detail/wsup-1.png,Inhalt 35,Content Item 35,,,,,,
image,chapter3.2,item3.2.36,,https://neu.io/project-detail/wsup-1.png,Inhalt 36,Content Item 36,,,,,,
image,chapter3.2,item3.2.37,,https://neu.io/project-detail/wsup-1.png,Inhalt 37,Content Item 37,,,,,,
ar,chapter3.2,item3.2.38,,Giebelwand,Inhalt 38,Content Item 38,,,,,,
image,chapter3.2,item3.2.39,,https://neu.io/project-detail/wsup-1.png,Inhalt 39,Content Item 39,,,,,,
image,chapter3.2,item3.2.40,,https://neu.io/project-detail/wsup-1.png,Inhalt 40,Content Item 40,,,,,,
image,chapter3.2,item3.2.41,,https://neu.io/project-detail/wsup-1.png,Inhalt 41,Content Item 41,,,,,,
image,chapter3.2,item3.2.42,,https://neu.io/project-detail/wsup-1.png,Inhalt 42,Content Item 42,,,,,,
image,chapter3.2,item3.2.43,,https://neu.io/project-detail/wsup-1.png,Inhalt 43,Content Item 43,,,,,,
